Date,Open,High,Low,Close,Volume,Adj Close
2014-03-09 00:00,616.33,622.77,601.32,620.81,100,620.81
2014-03-10 00:00,620.85,645.3,620.45,622.15,100,622.15
2014-03-11 00:00,622.15,629.63,611.4,626.85,100,626.85
2014-03-12 00:00,626.85,645.9,615.53,631.72,100,631.72
2014-03-13 00:00,632.06,641.61,628.02,638.39,100,638.39
2014-03-14 00:00,638.41,641.77,629.53,630.63,100,630.63
2014-03-15 00:00,630.59,634.1,625.01,628.56,100,628.56
2014-03-16 00:00,628.61,636.12,628.18,629.46,100,629.46
2014-03-17 00:00,629.41,631.44,616.43,619.17,100,619.17
2014-03-18 00:00,619.01,624.42,601.22,602.6,100,602.6
2014-03-19 00:00,602.9,621.64,599.93,612.81,100,612.81
2014-03-20 00:00,612.49,613.43,588.81,594.99,100,594.99
2014-03-21 00:00,594.66,605.31,563.79,575.83,100,575.83
2014-03-22 00:00,576.03,583.62,550.84,555.88,100,555.88
2014-03-23 00:00,555.55,569.71,553.16,561.2,100,561.2
2014-03-24 00:00,561.48,570.47,551.48,561.8,100,561.8
2014-03-25 00:00,561.99,588.14,559.85,574.28,100,574.28
2014-03-26 00:00,574.35,586.24,568.9,584.25,100,584.25
2014-03-27 00:00,584.33,590.27,478.1595,547.9,100,547.9
2014-03-28 00:00,547.35,549.81,471.03,501.73,100,501.73
2014-03-29 00:00,501.65,517.62,487.43,500.22,100,500.22
2014-03-30 00:00,499.6,501.52,458.21,464.58,100,464.58
2014-03-31 00:00,463.71,483.98,442.46,461.3,100,461.3
2014-04-01 00:00,463.12,500.71,449.84,480.75,100,480.75
2014-04-02 00:00,481.0,495.08,437.515,481.54,100,481.54
2014-04-03 00:00,481.51,481.51,414.41,430.99,100,430.99
2014-04-04 00:00,431.19,456.42,426.96,449.65,100,449.65
2014-04-05 00:00,448.26,456.09,435.06,450.39,100,450.39
2014-04-06 00:00,450.39,466.53,449.8,452.91,100,452.91
2014-04-07 00:00,452.91,461.8,451.92,456.64,100,456.64
2014-04-08 00:00,456.86,457.5,443.83,448.91,100,448.91
2014-04-09 00:00,449.36,453.56,441.75,444.09,100,444.09
